Book_Title,Authors,Current_Price,MRP,Discount,WebLinks
"Red, White & Royal Blue",Author not found,675,1008,33,https://www.bookswagon.com/book/red-white-royal-blue-casey/9781250316776
Secret,Author not found,1474,2268,35,https://www.bookswagon.com/book/secret-rhonda-byrne/9781582701707
Letters of Vincent Van Gogh,Author not found,419,599,30,https://www.bookswagon.com/book/letters-vincent-van-gogh-vincent/9780140446746
Neuromancer,Author not found,499,756,34,https://www.bookswagon.com/book/neuromancer-william-gibson/9780441569595
Emotional Intelligence 2.0,Author not found,679,999,32,https://www.bookswagon.com/book/emotional-intelligence-20-lac-su/9780974320625
Conscious Parent,Author not found,1365,1844,26,https://www.bookswagon.com/book/conscious-parent-dr-shefali-tsabary/9781897238455
American Prometheus,Author not found,1285,2100,39,https://www.bookswagon.com/book/american-prometheus-kai-bird-j/9780375726262
I'm Glad My Mom Died,Author not found,1282,2967,,https://www.bookswagon.com/book/im-glad-my-mom-died/9781982185824
Empire of the Summer Moon,S. C. Gwynne,1608,2436,,https://www.bookswagon.com/book/empire-summer-moon-s-c/9781416591054
Just Kids,Author not found,618,950,35,https://www.bookswagon.com/book/just-kids-patti-smith/9780060936228
What Do You Do with an Idea?,Author not found,1101,1508,27,https://www.bookswagon.com/book/you-do-idea-kobi-yamada/9781938298073
Einstein Never Used Flashcards,Diane E. Eyer,815,1199,32,https://www.bookswagon.com/book/einstein-never-used-flashcards-diane/9781594860683
Wonder,Author not found,968,1512,,https://www.bookswagon.com/book/wonder-r-j-r-j/9780375869020
Between the World and Me,Ta-Nehisi Coates,551,799,31,https://www.bookswagon.com/book/between-world-me-tanehisi-coates/9780812993547
Team of Rivals,Author not found,2419,3360,28,https://www.bookswagon.com/book/team-rivals-doris-kearns-goodwin/9780684824901
Quiet,Author not found,1583,2436,35,https://www.bookswagon.com/book/quiet-susan-cain/9780307352149
New Kid,Jerry Craft,488,750,35,https://www.bookswagon.com/book/new-kid-jerry-craft/9780062691194
Killers of the Flower Moon,Author not found,1882,2940,36,https://www.bookswagon.com/book/killers-flower-moon-david-grann/9780385534246
Game of Thrones,Author not found,482,699,31,https://www.bookswagon.com/book/game-thrones-r-george-r/9780553573404
Little Life,Author not found,1770,3710,52,https://www.bookswagon.com/book/little-life-hanya-yanagihara/9780385539258
Kite Runner,Author not found,1291,1899,,https://www.bookswagon.com/book/kite-runner-khaled-hosseini/9781573222457
Stand Tall,Author not found,359,499,28,https://www.bookswagon.com/book/stand-tall-molly-lou-melon/9780399234163
Prize,Author not found,769,1399,45,https://www.bookswagon.com/book/prize-daniel-yergin/9781439110126
Frindle,Author not found,109,199,45,https://www.bookswagon.com/book/frindle-andrew-clements-brian-selznick/9780689818769
Red Palace,Author not found,1025,1680,39,https://www.bookswagon.com/book/red-palace-june-hur/9781250800558
Thousand Splendid Suns,Khaled Hosseini,1155,1699,,https://www.bookswagon.com/book/thousand-splendid-suns-khaled-hosseini/9781594489501
Harry Potter and the Order of the Phoenix,J. K. Rowling,2218,2772,20,https://www.bookswagon.com/book/harry-potter-order-phoenix-grandpre/9780439358064
Magical Beginnings Enchanted Lives,David Simon,782,1150,32,https://www.bookswagon.com/book/magical-beginnings-enchanted-lives-david/9780517702208
Girl Who Drank the Moon,Kelly Barnhill,1181,1596,26,https://www.bookswagon.com/book/girl-who-drank-moon-kelly/9781616205676
Daytripper,Author not found,1155,1699,32,https://www.bookswagon.com/book/daytripper-gabriel-ba-fabio-moon/9781401229696
Flour Water Salt Yeast,Author not found,1563,2299,32,https://www.bookswagon.com/book/flour-water-salt-yeast-ken/9781607742739
This Is How You Lose the Time War,Author not found,885,1428,38,https://www.bookswagon.com/book/this-you-lose-time-war/9781534430990
Asterios Polyp,Author not found,2039,2999,,https://www.bookswagon.com/book/asterios-polyp-david-mazzucchelli/9780307377326
Widows of Malabar Hill,Author not found,696,953,,https://www.bookswagon.com/book/widows-malabar-hill-sujata-massey/9781616959760
Fault in Our Stars,John Green,1058,1680,37,https://www.bookswagon.com/book/fault-in-our-stars-john/9780525478812
On Food and Cooking,Author not found,2570,3780,32,https://www.bookswagon.com/book/food-cooking-harold-mcgee/9780684800011
Brown Bear,Author not found,304,499,,https://www.bookswagon.com/book/brown-bear-eric-carle-bill/9780805047905
Wild Iris,Author not found,857,1428,40,https://www.bookswagon.com/book/wild-iris-louise-gluck/9780880013345
Dragons Love Tacos,Adam Rubin,419,599,30,https://www.bookswagon.com/book/dragons-love-tacos-adam-rubin/9780803736801
When No One Is Watching,Alyssa Cole,396,1801,38,https://www.bookswagon.com/book/no-one-watching-alyssa-cole/9780062982650
